Wavelength,1,2,3,4
nm,Counts,Counts,Counts,Counts
276.856,5516,5441,5513,5311
276.887,5521,5505,5523,5470
276.917,5540,5588,5468,5434
276.947,5525,5553,5522,5331
276.977,5594,5554,5438,5439
277.007,5720,5422,5460,5427
277.037,5659,5597,5405,5435
277.067,5502,5601,5427,5537
277.097,5439,5595,5555,5486
277.127,5562,5634,5410,5468
277.158,5551,5626,5411,5280
277.188,5756,5768,5527,5468
277.218,5718,5655,5574,5403
277.248,5564,5717,5622,5547
277.278,5608,5640,5626,5509
277.308,5651,5620,5616,5433
277.338,5741,5760,5675,5453
277.368,5659,5659,5610,5594
277.398,5819,5723,5648,5515
277.428,5634,5670,5657,5585
277.459,5641,5842,5624,5444
277.489,5682,5684,5612,5579
277.519,5778,5819,5618,5682
277.549,5815,5705,5716,5606
277.579,5828,5735,5595,5599
277.609,5907,5799,5698,5492
277.639,5706,5798,5596,5597
277.669,5721,5811,5641,5631
277.699,5806,5722,5731,5611
277.729,5744,5828,5591,5600
277.759,5856,5893,5724,5713
277.789,5762,5762,5774,5721
277.819,5917,5768,5735,5669
277.849,5959,6018,5702,5589
277.879,5897,5923,5744,5790
277.91,5888,5736,5798,5688
277.94,5745,5830,5847,5839
277.97,5832,5892,5843,5681
278,5928,5905,5776,5641
278.03,5915,5888,5944,5631
278.06,5782,5878,5881,5781
278.09,5859,5875,5919,5778
278.12,5911,5974,5739,5778
278.15,5794,6031,5893,5738
278.18,5889,5760,5810,5818
278.21,5906,5938,5842,5806
278.24,5990,5974,5946,7127
278.27,5985,6023,5840,5910
278.3,6116,5956,5859,5875
278.33,6067,5942,5841,5759
278.36,6007,6038,5918,5838
278.39,6174,5952,6033,5842
278.42,6165,6131,5939,5885
278.45,5936,5999,6045,6016
278.48,5971,5950,5941,5828
278.51,6036,6049,6024,5944
278.54,6193,6041,5844,5857
278.57,6100,6105,6007,5947
278.6,6089,5991,5915,5943
278.63,5990,6047,5945,5868
278.66,6113,6268,6013,6030
278.69,6255,6145,5960,5864
278.72,6191,6104,6104,5950
278.75,6011,6138,5901,5827
278.78,6046,6092,6109,5837
278.81,6215,6112,5962,6009
278.84,6235,6020,6022,5981
278.87,6162,6121,5972,5903
278.9,6230,6129,5925,5906
278.93,6137,5926,6031,5873
278.96,6147,6063,6037,5927
278.99,6218,6231,6055,6042
279.02,6204,6142,6030,5986
279.05,6118,6211,6011,6114
279.08,6251,6133,6074,5955
279.11,6184,6138,6137,6041
279.14,6163,6207,6174,6042
279.17,6335,6252,6115,6011
279.2,6209,6131,6085,6140
279.23,6301,6252,6107,6127
279.26,6252,6264,6091,6187
279.29,6271,6358,6206,6074
279.32,6244,6303,6164,6166
279.35,6313,6438,6291,6057
279.38,6175,6275,6220,6153
279.41,6242,6202,6249,6229
279.439,6207,6468,6177,6013
279.469,6391,6211,6206,6030
279.499,6319,6342,6106,6096
279.529,6273,6223,6182,6026
279.559,6369,6383,6189,6054
